País,Ciudad1,Lat1,Long1,Ciudad2,Lat2,Long2,Ciudad3,Lat3,Long3,Ciudad4,Lat4,Long4,Ciudad5,Lat5,Long5,Ciudad6,Lat6,Long6,Ciudad7,Lat7,Long7,Ciudad8,Lat8,Long8,Ciudad9,Lat9,Long9,Ciudad10,Lat10,Long10
Azerbaijan,Bakú,40.4093,49.8671,Gəncə,40.6828,46.3606,Mingachevir,40.7659,47.0595,Sumqayit,40.5897,49.6682,Shaki,41.1919,47.1706,Lankaran,38.7546,48.8508,Nakhchivan,39.2083,45.4121,Shirvan,39.9333,48.9250,Khachmaz,41.4719,48.8057,Gabala,40.9819,47.8486
Bahamas,Nassau,25.0343,-77.3963,Freeport,26.5333,-78.7000,West End,26.6836,-78.9667,Cooper's Town,26.8690,-77.5142,Marsh Harbour,26.5426,-77.0636,Spanish Wells,25.5469,-76.7616,Dunmore Town,25.5023,-76.6316,Clarence Town,23.1017,-74.9763,High Rock,26.6115,-78.2664,San Salvador,24.0530,-74.5178
Bahrain,Manama,26.2235,50.5876,Muharraq,26.2572,50.6111,Riffa,26.1268,50.5577,Hamad Town,26.1106,50.4981,Isa Town,26.1736,50.5478,Sitra,26.1547,50.6222,Budaiya,26.2177,50.4531,Zallaq,26.0341,50.5023,Hidd,26.2459,50.6547,Al Jasra,26.1500,50.4167
Bangladesh,Dhaka,23.8103,90.4125,Chittagong,22.3569,91.7832,Khulna,22.8456,89.5403,Rajshahi,24.3636,88.6241,Sylhet,24.8949,91.8687,Barisal,22.7010,90.3535,Cox's Bazar,21.4272,92.0058,Narayanganj,23.6238,90.4996,Mymensingh,24.7471,90.4203,Comilla,23.4607,91.1809
Barbados,Bridgetown,13.0965,-59.6160,Speightstown,13.2505,-59.6415,Holetown,13.1922,-59.6414,Oistins,13.0682,-59.5367,Bathsheba,13.2167,-59.5167,Crane,13.1045,-59.4697,Paynes Bay,13.1664,-59.6362,Fitts Village,13.1234,-59.6293,Rockley,13.0835,-59.5963,St. Lawrence,13.0705,-59.5618
Belarus,Minsk,53.9045,27.5615,Hrodna,53.6778,23.8295,Brest,52.0976,23.7341,Vitebsk,55.1911,30.2049,Mogilev,53.9168,30.3449,Babruysk,53.1388,29.2214,Baranovichi,53.1327,26.0102,Orsha,54.5098,30.4172,Pinsk,52.1229,26.0951,Salihorsk,52.7892,27.5437
Belgium,Bruselas,50.8503,4.3517,Brujas,51.2093,3.2247,Gante,51.0543,3.7174,Amberes,51.2194,4.4025,Leuven,50.8798,4.7009,Lieja,50.6326,5.5797,Mechelen,51.0257,4.4777,Waterloo,50.7177,4.4011,Tournai,50.6056,3.3876,Ostende,51.2158,2.9285
Belize,Belice,17.5046,-88.1962,San Pedro,17.9150,-87.9644,Caye Caulker,17.7425,-88.0250,Placencia,16.5150,-88.3667,San Ignacio,17.1561,-89.0713,Punta Gorda,16.0983,-88.8090,Corozal,18.3987,-88.3881,Dangriga,16.9698,-88.2325,Belmopan,17.2514,-88.7665,Hopkins,16.8667,-88.2833
Benin,Cotonou,6.3703,2.3912,Porto-Novo,6.4969,2.6289,Parakou,9.3373,2.6300,Djougou,9.7085,1.6650,Abomey,7.1833,1.9833,Natitingou,10.3031,1.3782,Bohicon,7.1780,2.0682,Save,8.0363,2.4903,Lokossa,6.6380,1.7137,Kandi,11.1342,2.9383
Bhutan,Thimphu,27.4728,89.6390,Paro,27.4297,89.4167,Punakha,27.5854,89.8610,Wangdue Phodrang,27.4342,89.8971,Trongsa,27.5018,90.5078,Trashigang,27.3290,91.5510,Phuntsholing,26.8516,89.3885,Gelephu,26.8803,90.5003,Haa,27.3847,89.2802,Mongar,27.2540,91.2395
Bolivia,La Paz,-16.5000,-68.1500,Santa Cruz de la Sierra,-17.7833,-63.1833,Cochabamba,-17.3935,-66.1568,Sucre,-19.0333,-65.2627,Oruro,-17.9614,-67.1065,Potosí,-19.5836,-65.7531,Tarija,-21.5355,-64.7296,Trinidad,-14.8333,-64.9000,Cobija,-11.0333,-68.7667,Riberalta,-11.0000,-66.1000
Bosnia and Herzegovina,Sarajevo,43.8563,18.4131,Mostar,43.3433,17.8078,Banja Luka,44.7722,17.1910,Tuzla,44.5384,18.6671,Zenica,44.2017,17.9030,Bihać,44.8160,15.8709,Bijeljina,44.7566,19.2158,Prijedor,44.9817,16.7131,Trebinje,42.7119,18.3436,Visoko,43.9883,18.1791
Botswana,Gaborone,-24.6282,25.9231,Francistown,-21.1722,27.5079,Molepolole,-24.4070,25.4951,Maun,-19.9833,23.4167,Kanye,-24.9667,25.3333,Mochudi,-24.4000,26.1500,Serowe,-22.3945,26.6964,Palapye,-22.5610,27.1254,Mahalapye,-23.1000,26.8200,Kasane,-17.7967,25.1543
Brazil,Río de Janeiro,-22.9068,-43.1729,São Paulo,-23.5505,-46.6333,Salvador,-12.9714,-38.5014,Florianópolis,-27.5954,-48.5480,Foz do Iguaçu,-25.5163,-54.5854,Brasilia,-15.7939,-47.8828,Recife,-8.0476,-34.8770,Fortaleza,-3.7172,-38.5434,Belo Horizonte,-19.9173,-43.9346,Porto Alegre,-30.0346,-51.2177
Brunei Darussalam,Bandar Seri Begawan,4.9031,114.9398,Kuala Belait,4.5836,114.1869,Seria,4.6068,114.3246,Muara,5.0333,115.0667,Lumut,4.7970,114.6195,Tutong,4.8000,114.6500,Bangun,4.8167,114.8167,Keriam,4.6333,114.5667,Pekan Tutong,4.7991,114.6475,Sungai Liang,4.5830,114.4167
Bulgaria,Sofía,42.6977,23.3219,Plovdiv,42.1354,24.7453,Varna,43.2140,27.9147,Burgas,42.5048,27.4626,Ruse,43.8487,25.9534,Stara Zagora,42.4237,25.6240,Pleven,43.4170,24.6067,Sliven,42.6811,26.3223,Dobrich,43.5708,27.8270,Shumen,43.2705,26.9229
Burkina Faso,Ouagadougou,12.3686,-1.5275,Bobo-Dioulasso,11.1833,-4.2833,Koudougou,12.2497,-2.3609,Banfora,10.6308,-4.7561,Dédougou,12.4675,-3.4608,Tenkodogo,11.7804,-0.3697,Dori,14.0350,-0.0300,Manga,11.6639,-1.0703,Ouahigouya,13.5828,-2.4219,Fada N'gourma,12.0605,0.3678
Burundi,Bujumbura,-3.3614,29.3599,Gitega,-3.4271,29.9246,Ngozi,-2.9075,29.8306,Ruyigi,-3.4778,30.2486,Rutana,-3.9263,29.9922,Bubanza,-3.0838,29.3936,Kayanza,-2.9204,29.6291,Makamba,-4.1342,29.8040,Karuzi,-3.1027,30.1628,Muyinga,-2.8536,30.3463
Cabo Verde,Praia,14.9330,-23.5120,Mindelo,16.8901,-24.9815,Sal Rei,16.1804,-22.9175,Espargos,16.7547,-22.9336,Porto Novo,17.0257,-25.0647,Santa Maria,16.5986,-22.9054,Assomada,15.1064,-23.6754,Ponta do Sol,17.2042,-25.0926,São Filipe,14.8961,-24.4981,Tarrafal,15.2814,-23.7605
Cambodia,Phnom Penh,11.5564,104.9282,Siem Reap,13.3671,103.8448,Battambang,13.1024,103.1982,Kampot,10.6104,104.1812,Sihanoukville,10.6093,103.5315,Kep,10.4837,104.3167,Pursat,12.5350,103.9190,Kratie,12.4887,106.0172,Banlung,13.7396,107.0028,Poipet,13.6538,102.5655
Cameroon,Yaoundé,3.8480,11.5021,Douala,4.0511,9.7679,Garoua,9.3007,13.3939,Bamenda,5.9631,10.1591,Maroua,10.5956,14.3247,Bafoussam,5.4778,10.4172,Nkongsamba,4.9547,9.9417,Bertoua,4.5773,13.6846,Loum,4.7158,9.7355,Kumba,4.6353,9.4464
Canada,Toronto,43.6511,-79.3831,Vancouver,49.2827,-123.1207,Montreal,45.5017,-73.5673,Quebec City,46.8139,-71.2082,Ottawa,45.4215,-75.6972,Calgary,51.0447,-114.0719,Edmonton,53.5461,-113.4938,Halifax,44.6488,-63.5752,Victoria,48.4284,-123.3656,Winnipeg,49.8951,-97.1384
Central African Republic,Bangui,4.3947,18.5582,Bimbo,4.2567,18.4158,Berberati,4.2612,15.7922,Bambari,5.7678,20.6757,Bria,6.5423,21.9866,Bouar,5.9340,15.5955,Kaga-Bandoro,6.9883,19.1874,Batangafo,7.3046,18.2859,Bangassou,4.7410,22.8184,Bozoum,6.3194,16.3791
Chad,N'Djamena,12.1348,15.0557,Moundou,8.5662,16.0779,Sarh,9.1517,18.3904,Abeche,13.8357,20.8353,Kelo,9.3101,15.8053,Doba,8.6600,16.8554,Bongor,10.2806,15.3797,Sagh,9.1500,18.3904,Dourbali,11.8095,15.8632,Pala,9.3641,14.9036
Chile,Santiago,-33.4489,-70.6693,Valparaíso,-33.0458,-71.6197,Viña del Mar,-33.0153,-71.5500,Punta Arenas,-53.1638,-70.9171,Puerto Montt,-41.4717,-72.9360,La Serena,-29.9045,-71.2489,Antofagasta,-23.6500,-70.4000,Iquique,-20.2208,-70.1423,Arica,-18.4783,-70.3126,Puerto Varas,-41.3193,-72.9847
China,Beijing,39.9042,116.4074,Shanghai,31.2304,121.4737,Hong Kong,22.3193,114.1694,Guangzhou,23.1291,113.2644,Shenzhen,22.5431,114.0579,Xi'an,34.3416,108.9398,Chengdu,30.5728,104.0668,Hangzhou,30.2741,120.1551,Kunming,25.0406,102.7123,Nanjing,32.0603,118.7969
Colombia,Bogotá,4.7110,-74.0721,Medellín,6.2442,-75.5812,Cali,3.4516,-76.5318,Cartagena,10.3910,-75.4794,Barranquilla,10.9878,-74.7889,Santa Marta,11.2408,-74.1990,Bucaramanga,7.1193,-73.1227,Manizales,5.0703,-75.5138,Pereira,4.8087,-75.6906,Ibagué,4.4447,-75.2421
Comoros,Moroni,-11.7042,43.2402,Mutsamudu,-12.1690,44.3994,Fomboni,-12.2904,43.7428,Domoni,-12.2569,44.5312,Sima,-12.1942,44.2817,Moya,-12.3508,43.7635,Dziani,-12.2974,43.7670,Patsi,-12.2412,44.4798,Pomoni,-12.2133,44.3865,Mitsamiouli,-11.3844,43.2840
Congo,Brazzaville,-4.2634,15.2429,Pointe-Noire,-4.7780,11.8635,Dolisie,-4.1956,12.6666,Nkayi,-4.1870,13.2855,Gamboma,-1.8767,15.8630,Owando,-0.4820,15.8994,Ouésso,1.6136,16.0529,Loandjili,-4.7167,11.8500,Madingou,-4.1683,13.5506,Impfondo,1.6174,18.0591
Democratic Republic of the Congo,Kinshasa,-4.4419,15.2663,Lubumbashi,-11.6627,27.4794,Mbuji-Mayi,-6.1450,23.5893,Goma,-1.6744,29.2285,Kananga,-5.8974,22.4170,Kisangani,0.5153,25.1906,Matadi,-5.8156,13.4833,Bunia,1.5592,30.2522,Mbandaka,0.0487,18.2603,Bukavu,-2.5056,28.8607
Costa Rica,San José,9.9281,-84.0907,Liberia,10.6346,-85.4408,Cartago,9.8644,-83.9194,Alajuela,10.0155,-84.2080,Puntarenas,9.9763,-84.8335,Limon,10.0024,-83.0670,Quepos,9.4319,-84.1616,Tamarindo,10.2993,-85.8419,Monteverde,10.2767,-84.8255,Heredia,9.9983,-84.1165
Croatia,Zagreb,45.8150,15.9819,Dubrovnik,42.6507,18.0944,Split,43.5081,16.4402,Zadar,44.1194,15.2314,Šibenik,43.7350,15.8895,Pula,44.8666,13.8496,Rijeka,45.3271,14.4422,Osijek,45.5600,18.6754,Varazdin,46.3057,16.3366,Rovinj,45.0812,13.6387
Cuba,La Habana,23.1136,-82.3666,Varadero,23.1455,-81.2519,Trinidad,21.8010,-79.9846,Santiago de Cuba,20.0208,-75.8267,Cienfuegos,22.1490,-80.4466,Camaguey,21.3808,-77.9169,Holguín,20.8872,-76.2631,Vinales,22.6147,-83.7061,Santa Clara,22.4069,-79.9648,Baracoa,20.3477,-74.4966
Cyprus,Nicosia,35.1856,33.3823,Limassol,34.7071,33.0226,Larnaca,34.9127,33.6232,Paphos,34.7720,32.4297,Famagusta,35.1192,33.9503,Kyrenia,35.3365,33.3160,Protaras,35.0180,34.0442,Ayia Napa,34.9923,34.0020,Paralimni,35.0180,33.9833,Lefkara,34.8612,33.3090
Czech Republic,Prague,50.0755,14.4378,Brno,49.1951,16.6068,Plzeň,49.7384,13.3736,Olomouc,49.5955,17.2516,Ostrava,49.8209,18.2625,Český Krumlov,48.8127,14.3175,Karlovy Vary,50.2310,12.8712,Hradec Králové,50.2092,15.8328,Liberec,50.7671,15.0562,Pardubice,50.0409,15.7766
Denmark,Copenhagen,55.6761,12.5683,Aarhus,56.1629,10.2039,Odense,55.4038,10.4024,Aalborg,57.0467,9.9359,Esbjerg,55.4765,8.4594,Roskilde,55.6419,12.0803,Helsingør,56.0305,12.5921,Kolding,55.4910,9.4721,Sønderborg,54.9133,9.7924,Randers,56.4605,10.0366
Djibouti,Djibouti City,11.5721,43.1456,Ali Sabieh,11.1536,42.7128,Tadjoura,11.7847,42.8845,Obock,11.9667,43.2905,Dikhil,11.1097,42.3733,Arta,11.5222,42.8403,Holl-Holl,11.3106,42.9294,Dorra,12.1500,42.4773,Randa,12.2002,42.4642,Yoboki,11.5250,42.4970
Dominica,Roseau,15.3010,-61.3881,Portsmouth,15.5811,-61.4714,Marigot,15.5445,-61.2783,Berekua,15.2314,-61.3128,Castle Bruce,15.4167,-61.2667,Grand Bay,15.2333,-61.3333,La Plaine,15.3511,-61.2833,Paix Bouche,15.5533,-61.4310,Calibishie,15.5943,-61.3561,Woodford Hill,15.5806,-61.3456
Dominican Republic,Santo Domingo,18.4861,-69.9312,Punta Cana,18.5820,-68.4055,Santiago de los Caballeros,19.4792,-70.6931,Puerto Plata,19.7934,-70.6871,La Romana,18.4273,-68.9728,San Pedro de Macorís,18.4616,-69.2978,Bávaro,18.6865,-68.4210,Boca Chica,18.4513,-69.6110,Jarabacoa,19.1207,-70.6365,San Francisco de Macorís,19.2991,-70.2568
East Timor,Dili,-8.5569,125.5603,Baucau,-8.4729,126.4586,Same,-9.0043,125.6507,Maliana,-8.9860,125.2197,Lospalos,-8.5185,127.0042,Suai,-9.3124,125.2557,Venilale,-8.6473,126.3795,Manatuto,-8.5078,126.0121,Aileu,-8.7280,125.5819,Viqueque,-8.8667,126.3667
Ecuador,Quito,-0.2299,-78.5249,Guayaquil,-2.1700,-79.9224,Cuenca,-2.9006,-79.0045,Baños,-1.3964,-78.4221,Salinas,-2.2149,-80.9584,Otavalo,0.2352,-78.2681,Ambato,-1.2417,-78.6195,Loja,-3.9931,-79.2042,Manta,-0.9677,-80.7037,Puerto Ayora,-0.7402,-90.3123
Egypt,Cairo,30.0444,31.2357,Alexandria,31.2156,29.9553,Giza,30.0131,31.2089,Sharm el-Sheikh,27.9158,34.3299,Luxor,25.6872,32.6396,Aswan,24.0889,32.8998,Hurghada,27.2574,33.8129,Dahab,28.4956,34.5136,Marsa Alam,25.0657,34.8892,Siwa,29.2043,25.5195
El Salvador,San Salvador,13.6929,-89.2182,San Miguel,13.4833,-88.1833,Santa Ana,13.9946,-89.5597,La Libertad,13.4941,-89.3224,San Vicente,13.6417,-88.7859,Soyapango,13.7102,-89.1399,Apopa,13.8011,-89.1803,Ahuachapán,13.9213,-89.8453,Sonsonate,13.7184,-89.7248,Usulután,13.3458,-88.4344
Equatorial Guinea,Malabo,3.7500,8.7833,Bata,1.8639,9.7658,Ebibeyin,2.1511,11.3343,Luba,3.4568,8.5548,Mongomo,1.6283,11.3133,Mikomeseng,2.1367,10.6167,Nsork,1.1277,11.2730,Aconibe,1.2965,10.9363,Mbalmayo,1.3167,11.0667,Rio Campo,2.2833,9.8167
Eritrea,Asmara,15.3229,38.9251,Massawa,15.6099,39.4502,Keren,15.7779,38.4460,Assab,13.0092,42.7397,Mendefera,14.8867,38.8169,Barentu,15.1051,37.5909,Adi Keyh,14.8447,39.3795,Teseney,15.1109,36.6572,Agordat,15.5479,37.8829,Senafe,14.6906,39.4475
Estonia,Tallinn,59.4370,24.7535,Tartu,58.3776,26.7290,Narva,59.3777,28.1909,Parnu,58.3859,24.4971,Viljandi,58.3655,25.5973,Rakvere,59.3464,26.3553,Kohtla-Jarve,59.3985,27.2731,Sillamae,59.3978,27.7667,Valga,57.7777,26.0473,Kuressaare,58.2481,22.5039
Eswatini,Mbabane,-26.3054,31.1367,Manzini,-26.4946,31.3800,Pigg's Peak,-25.9603,31.2462,Lobamba,-26.4465,31.1957,Mhlume,-26.0323,31.8460,Mhlambanyatsi,-26.4667,31.0167,Siteki,-26.4500,31.9500,Nhlangano,-27.1160,31.1972,Bhunya,-26.5580,31.0144,Hlatikulu,-27.0181,31.3314
Ethiopia,Addis Abeba,9.0108,38.7613,Gondar,12.6000,37.4667,Bahir Dar,11.5936,37.3908,Dire Dawa,9.5931,41.8661,Mekele,13.4970,39.4690,Harar,9.3094,42.1349,Awassa,7.0621,38.4760,Jijiga,9.3504,42.8006,Debre Birhan,9.6801,39.5323,Nazret,8.5406,39.2695
Fiji,Suva,-18.1248,178.4501,Nadi,-17.7768,177.4350,Lautoka,-17.6168,177.4502,Labasa,-16.4312,179.3642,Ba,-17.5397,177.6706,Savusavu,-16.7790,179.3357,Levuka,-17.6815,178.8344,Sigatoka,-18.1380,177.5090,Tavua,-17.4541,177.8673,Rakiraki,-17.3528,178.1569
Finland,Helsinki,60.1699,24.9384,Espoo,60.2055,24.6559,Tampere,61.4978,23.7610,Vantaa,60.2934,25.0378,Turku,60.4518,22.2666,Oulu,65.0121,25.4651,Lahti,60.9827,25.6615,Kuopio,62.8924,27.6770,Joensuu,62.6010,29.7634,Porvoo,60.3932,25.6635
France,París,48.8566,2.3522,Niza,43.7102,7.2620,Lyon,45.7640,4.8357,Marseille,43.2965,5.3698,Burdeos,44.8378,-0.5792,Toulouse,43.6047,1.4442,Montpellier,43.6119,3.8770,Strasbourg,48.5734,7.7521,Lille,50.6292,3.0573,Cannes,43.5528,7.0174
Gabon,Libreville,0.4162,9.4673,Port-Gentil,-0.7193,8.7815,Franceville,-1.6370,13.5820,Oyem,1.6054,11.5806,Mouila,-1.8672,11.0567,Lambaréné,-0.6982,10.2444,Tchibanga,-2.8586,11.0226,Koulamoutou,-1.1329,12.4640,Moanda,-1.5652,13.1980,Bitam,2.0757,11.5006
Gambia,Banjul,13.4549,-16.5790,Serrekunda,13.4419,-16.6766,Brikama,13.2711,-16.6471,Bakau,13.4786,-16.6817,Farafenni,13.5669,-15.5906,Somita,13.3581,-16.4213,Barra,13.4823,-16.5472,Basse Santa Su,13.3113,-14.2203,Lamin,13.3522,-16.4337,Sukuta,13.4001,-16.7085
Georgia,Tiflis,41.7151,44.8271,Batumi,41.6168,41.6367,Kutaisi,42.2679,42.6946,Rustavi,41.5322,45.0345,Zugdidi,42.5088,41.8709,Poti,42.1461,41.6722,Gori,41.9854,44.1102,Samtredia,42.1515,42.3355,Khashuri,41.9947,43.5997,Senaki,42.2706,42.0661
Germany,Berlín,52.5200,13.4050,Múnich,48.1351,11.5820,Hamburgo,53.5511,9.9937,Fráncfort,50.1109,8.6821,Colonia,50.9375,6.9603,Dresde,51.0504,13.7373,Stuttgart,48.7758,9.1829,Düsseldorf,51.2277,6.7735,Bremen,53.0793,8.8017,Nuremberg,49.4521,11.0767
Ghana,Accra,5.6037,-0.1870,Kumasi,6.6885,-1.6244,Tamale,9.4071,-0.8533,Sekondi-Takoradi,4.9317,-1.7746,Sunyani,7.3399,-2.3267,Cape Coast,5.1054,-1.2466,Koforidua,6.0941,-0.2591,Wa,10.0607,-2.5019,Ho,6.6000,0.4708,Bolgatanga,10.7852,-0.8511
Greece,Atenas,37.9838,23.7275,Salónica,40.6401,22.9444,Heraclión,35.3387,25.1442,Patras,38.2466,21.7346,Larisa,39.6390,22.4191,Volos,39.3610,22.9425,Ioánina,39.6649,20.8537,Kavala,40.9395,24.4069,Corfú,39.6243,19.9217,Rodas,36.4349,28.2174
Grenada,St. George's,12.0561,-61.7488,Gouyave,12.1675,-61.7293,Victoria,12.1905,-61.7243,Grenville,12.1170,-61.6220,Sauteurs,12.2167,-61.6333,Grand Anse,12.0282,-61.7573,St. David's,12.0530,-61.6805,St. John's,12.1087,-61.7248,St. Mark's,12.2333,-61.6833,Woburn,12.0280,-61.7322
Guatemala,Ciudad de Guatemala,14.6349,-90.5069,Antigua Guatemala,14.5566,-90.7346,Quetzaltenango,14.8349,-91.5189,Escuintla,14.3050,-90.7854,Chimaltenango,14.6620,-90.8194,Flores,16.9226,-89.8992,Puerto Barrios,15.7253,-88.5927,Totonicapán,14.9117,-91.3603,San Juan Sacatepéquez,14.7100,-90.6420,Huehuetenango,15.3195,-91.4723
Guinea,Conakry,9.6412,-13.5784,Nzérékoré,7.7591,-8.8179,Kindia,10.0568,-12.8657,Kankan,10.3852,-9.3057,Labé,11.3182,-12.2833,Boké,10.9333,-14.3000,Mamou,10.3755,-12.1000,Kissidougou,9.1847,-10.0997,Siguiri,11.4171,-9.1685,Macenta,8.5424,-9.4763
Guinea-Bissau,Bissau,11.8630,-15.5977,Gabu,12.2800,-14.2222,Bafatá,12.1667,-14.6667,Bolama,11.5764,-15.4765,Cacheu,12.2704,-16.1654,Buba,11.5829,-14.9955,Catio,11.2151,-15.1747,Fulacunda,11.8000,-15.2333,Mansoa,12.0733,-15.3182,Bissorã,12.2296,-15.4570
Guyana,Georgetown,6.8013,-58.1551,New Amsterdam,6.2479,-57.5352,Linden,5.9931,-58.2687,Bartica,6.4050,-58.6247,Mahdia,5.2667,-59.1500,Lethem,3.3805,-59.7994,Anna Regina,7.2667,-58.5000,Skeldon,5.8833,-57.1333,Rosignol,6.2715,-57.5392,Fort Wellington,6.4061,-57.6100
Haiti,Port-au-Prince,18.5944,-72.3074,Cap-Haïtien,19.7594,-72.1982,Gonaïves,19.4476,-72.6893,Les Cayes,18.2000,-73.7500,Jacmel,18.2342,-72.5347,Port-de-Paix,19.9373,-72.8330,Saint-Marc,19.1087,-72.6961,Carrefour,18.5410,-72.4003,Delmas,18.5447,-72.3028,Petit-Goâve,18.4314,-72.8617
Honduras,Tegucigalpa,14.0723,-87.1921,San Pedro Sula,15.5007,-88.0333,La Ceiba,15.7835,-86.7872,Choloma,15.6108,-87.9533,El Progreso,15.4026,-87.8039,Puerto Cortés,15.8354,-87.9293,La Lima,15.4376,-87.9212,Comayagua,14.4497,-87.6377,Danlí,14.0333,-86.5833,Juticalpa,14.6500,-86.2000
Hungary,Budapest,47.4979,19.0402,Debrecen,47.5316,21.6273,Szeged,46.2530,20.1414,Miskolc,48.1035,20.7784,Pécs,46.0727,18.2323,Győr,47.6875,17.6504,Nyíregyháza,47.9554,21.7166,Kecskemét,46.8964,19.6897,Székesfehérvár,47.1860,18.4235,Érd,47.3910,18.9130
Iceland,Reykjavík,64.1355,-21.8954,Kópavogur,64.1128,-21.8584,Hafnarfjörður,64.0676,-21.9375,Akureyri,65.6835,-18.0878,Reykjanesbær,63.9985,-22.5644,Selfoss,63.9361,-21.0013,Sauðárkrókur,65.7464,-19.6394,Ísafjörður,66.0709,-23.1272,Egilsstaðir,65.2727,-14.3948,Grindavík,63.8424,-22.4428
India,Nueva Delhi,28.6139,77.2090,Mumbai,19.0760,72.8777,Bangalore,12.9716,77.5946,Kolkata,22.5726,88.3639,Chennai,13.0827,80.2707,Hyderabad,17.3850,78.4867,Pune,18.5204,73.8567,Jaipur,26.9124,75.7873,Ahmedabad,23.0225,72.5714,Kochi,9.9312,76.2673
Indonesia,Yakarta,-6.2088,106.8456,Surabaya,-7.2575,112.7521,Bandung,-6.9175,107.6191,Medan,3.5952,98.6722,Semarang,-6.9667,110.4167,Palembang,-2.9909,104.7567,Denpasar,-8.6705,115.2126,Makassar,-5.1477,119.4327,Batam,1.0456,104.0305,Bandar Lampung,-5.4297,105.2628
Iran (Islamic Republic of),Teherán,35.6892,51.3890,Isfahán,32.6613,51.6804,Shiraz,29.5918,52.5837,Tabriz,38.0800,46.2919,Masjid-i-Suleiman,31.9364,49.3030,Karaj,35.8355,50.9915,Qom,34.6399,50.8759,Ahvaz,31.3183,48.6706,Yazd,31.8974,54.3569,Kerman,30.2839,57.0834
